userPrincipalName,displayName,surname,givenName,id,userType,jobTitle,department,accountEnabled,usageLocation,country,city,identityIssuer,createdDateTime
aurorapounds__SSDe@airaviavista.onmicrosoft.com,Aurora Pounds (Scheduling and Safety Department),Pounds,Aurora,646c6d08-4d14-4b07-9a71-4b2f70fc2968,Member,Flight Scheduling Manager,Scheduling and Safety Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
beverlygibson__IFD@airaviavista.onmicrosoft.com,Beverly Gibson (In-Flight Department),Gibson,Beverly,2d4def4c-9515-407a-9a17-cccc9965df23,Member,First Officer,In-Flight Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
birdieowens__MDe@airaviavista.onmicrosoft.com,Birdie Owens (Maintenance Department),Owens,Birdie,c99251c6-5c67-4d56-a0ec-ba6b488f21fa,Member,Inspector,Maintenance Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
bobbycastellano__ADe@airaviavista.onmicrosoft.com,Bobby Castellano (Administrative Department),Castellano,Bobby,3ecc6f64-45d6-4707-a5ef-c807c031fff1,Member,Advertisement Manager,Administrative Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
charlesstewart__SSDe@airaviavista.onmicrosoft.com,Charles Stewart (Scheduling and Safety Department),Stewart,Charles,eb33deef-75f5-421d-8406-819eaf17e764,Member,Flight Scheduling Manager,Scheduling and Safety Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
charleswalden__SSDe@airaviavista.onmicrosoft.com,Charles Walden (Scheduling and Safety Department),Walden,Charles,a6d96afb-340c-44b3-94d7-6e0f1e39deed,Member,Payload Manager,Scheduling and Safety Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
constancedelgado__SSDe@airaviavista.onmicrosoft.com,Constance Delgado (Scheduling and Safety Department),Delgado,Constance,63ee18df-9c99-465a-aaef-b3aaa0de0ada,Member,Flight Scheduling Manager,Scheduling and Safety Department,FALSE,US,United States,San Francisco,airaviavista.onmicrosoft.com,3/14/2024 1:22
crystallemmon__SSDe@airaviavista.onmicrosoft.com,Crystal Lemmon (Scheduling and Safety Department),Lemmon,Crystal,3432dc84-dc15-43ba-b580-df731a3f2297,Member,Payload Manager,Scheduling and Safety Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
cynthiacouch__ADe@airaviavista.onmicrosoft.com,Cynthia Couch (Administrative Department),Couch,Cynthia,20841334-96be-457d-b9a5-841362a9f78a,Member,Finance Operator,Administrative Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
dalecamak__MDe@airaviavista.onmicrosoft.com,Dale Camak (Maintenance Department),Camak,Dale,2eec9a57-9f54-44c1-ba3b-e41d6bb33d38,Member,Maintainer,Maintenance Department,FALSE,US,United States,San Francisco,airaviavista.onmicrosoft.com,3/14/2024 1:22
danielledelaney__CSD@airaviavista.onmicrosoft.com,Danielle Delaney (Customer Services Department),Delaney,Danielle,8a2bf9e5-9cd0-4f56-bb12-efb584878e69,Member,Check-in Personnel,Customer Services Department,FALSE,US,United States,Boston,airaviavista.onmicrosoft.com,3/14/2024 1:22
darrellscott__ADe@airaviavista.onmicrosoft.com,Darrell Scott (Administrative Department),Scott,Darrell,6e0b1523-fafc-43c4-b103-d144100d25b6,Member,Human Resources,Administrative Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
davidelliott__IFD@airaviavista.onmicrosoft.com,David Elliott (In-Flight Department),Elliott,David,77220bab-a7b2-4238-ae6e-f429711a68e1,Member,First Officer,In-Flight Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
denisemulch__CSD@airaviavista.onmicrosoft.com,Denise Mulch (Customer Services Department),Mulch,Denise,61f17309-ae97-4f04-965f-f9a08eba25d7,Member,Check-in Personnel,Customer Services Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
denniscampisi__ADe@airaviavista.onmicrosoft.com,Dennis Campisi (Administrative Department),Campisi,Dennis,7c170621-bf79-40ac-a3d7-5efa170bd6ec,Member,Finance Operator,Administrative Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
donaldbrock__SSDe@airaviavista.onmicrosoft.com,Donald Brock (Scheduling and Safety Department),Brock,Donald,91f8ee70-a466-45ab-af70-276be876ff31,Member,Payload Manager,Scheduling and Safety Department,FALSE,US,United States,San Francisco,airaviavista.onmicrosoft.com,3/14/2024 1:22
donaldharris__CSD@airaviavista.onmicrosoft.com,Donald Harris (Customer Services Department),Harris,Donald,c2d397ec-e4f4-4f52-b922-de0804546b59,Member,Check-in Personnel,Customer Services Department,FALSE,US,United States,Miami,airaviavista.onmicrosoft.com,3/14/2024 1:22
donaldpringle__ADe@airaviavista.onmicrosoft.com,Donald Pringle (Administrative Department),Pringle,Donald,9410275e-dbbd-41be-abbb-4f4f6303ce6b,Member,Human Resources,Administrative Department,FALSE,US,United States,Miami,airaviavista.onmicrosoft.com,3/14/2024 1:22
eddiebender__IFD@airaviavista.onmicrosoft.com,Eddie Bender (In-Flight Department),Bender,Eddie,6b7f7308-28ad-44ca-b052-6dec5363573e,Member,First Officer,In-Flight Department,FALSE,US,United States,Miami,airaviavista.onmicrosoft.com,3/14/2024 1:22
edwardbarbeau__CSD@airaviavista.onmicrosoft.com,Edward Barbeau (Customer Services Department),Barbeau,Edward,5441fd58-03ba-4b9a-8482-0366d88e645d,Member,Check-in Personnel,Customer Services Department,FALSE,US,United States,Boston,airaviavista.onmicrosoft.com,3/14/2024 1:22
elenastanley__ADe@airaviavista.onmicrosoft.com,Elena Stanley (Administrative Department),Stanley,Elena,1455080f-ca99-49cd-af19-30424725a696,Member,Human Resources,Administrative Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
elizabethphillips__CSD@airaviavista.onmicrosoft.com,Elizabeth Phillips (Customer Services Department),Phillips,Elizabeth,38fcf838-563f-4a10-93b5-002310d80586,Member,Check-in Personnel,Customer Services Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
ericmark__MDe@airaviavista.onmicrosoft.com,Eric Mark (Maintenance Department),Mark,Eric,0a4d32c2-22e2-4556-ae48-a87d86ee04b0,Member,Inspector,Maintenance Department,FALSE,US,United States,San Francisco,airaviavista.onmicrosoft.com,3/14/2024 1:22
everettsegura__IFD@airaviavista.onmicrosoft.com,Everett Segura (In-Flight Department),Segura,Everett,052fef13-53c7-4c5b-bfce-ba435240c267,Member,Flight Attendant,In-Flight Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
feltonweber__ADe@airaviavista.onmicrosoft.com,Felton Weber (Administrative Department),Weber,Felton,466454ca-d964-4b66-9fac-5046e7b72bb0,Member,Finance Operator,Administrative Department,FALSE,US,United States,Broward County,airaviavista.onmicrosoft.com,3/14/2024 1:22
franciscaayers__MDe@airaviavista.onmicrosoft.com,Francisca Ayers (Maintenance Department),Ayers,Francisca,e4cd9ea2-876a-4607-9fb9-189762a9d3b1,Member,Maintainer,Maintenance Department,FALSE,US,United States,San Francisco,airaviavista.onmicrosoft.com,3/14/2024 1:22
fredrickdaily__ADe@airaviavista.onmicrosoft.com,Fredrick Daily (Administrative Department),Daily,Fredrick,18ddf45a-f248-4e62-b309-d061a1075868,Member,Human Resources,Administrative Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
galendutton__ADe@airaviavista.onmicrosoft.com,Galen Dutton (Administrative Department),Dutton,Galen,2246f146-e5ac-4398-8135-cdc815533081,Member,Finance Operator,Administrative Department,FALSE,US,United States,Miami,airaviavista.onmicrosoft.com,3/14/2024 1:22
gloriachang__ADe@airaviavista.onmicrosoft.com,Gloria Chang (Administrative Department),Chang,Gloria,ebfd11e7-d058-4cc5-ab6c-b60f06262c67,Member,Advertisement Manager,Administrative Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
gregklingensmith__IFD@airaviavista.onmicrosoft.com,Greg Klingensmith (In-Flight Department),Klingensmith,Greg,402f6773-19e1-4d80-9024-0702f179e50e,Member,Captain,In-Flight Department,FALSE,US,United States,San Francisco,airaviavista.onmicrosoft.com,3/14/2024 1:22
hilaryperez__CSD@airaviavista.onmicrosoft.com,Hilary Perez (Customer Services Department),Perez,Hilary,de1ed743-5dd9-4755-bf84-a5b81c387cb1,Member,Check-in Personnel,Customer Services Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
hubertcatton__ADe@airaviavista.onmicrosoft.com,Hubert Catton (Administrative Department),Catton,Hubert,1af0d25a-73ea-46fc-8012-ee359d259f9b,Member,Finance Operator,Administrative Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
jaimelewis__CSD@airaviavista.onmicrosoft.com,Jaime Lewis (Customer Services Department),Lewis,Jaime,fb9e9075-adf1-406f-9018-80502bd949eb,Member,Check-in Personnel,Customer Services Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
jasonmacneil__ADe@airaviavista.onmicrosoft.com,Jason Macneil (Administrative Department),Macneil,Jason,a328e5d8-58ea-4b8e-8407-43fe6049ebe5,Member,Finance Operator,Administrative Department,FALSE,US,United States,Broward County,airaviavista.onmicrosoft.com,3/14/2024 1:22
jerryroden__CSD@airaviavista.onmicrosoft.com,Jerry Roden (Customer Services Department),Roden,Jerry,2c195bf3-1e9b-4906-955d-b0bf32683ddc,Member,Check-in Personnel,Customer Services Department,FALSE,US,United States,Miami,airaviavista.onmicrosoft.com,3/14/2024 1:22
jessicaferia__ADe@airaviavista.onmicrosoft.com,Jessica Feria (Administrative Department),Feria,Jessica,5d5bb20e-85b1-4f7a-a1ea-37599eccd683,Member,Advertisement Manager,Administrative Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
jessiegriffith__MDe@airaviavista.onmicrosoft.com,Jessie Griffith (Maintenance Department),Griffith,Jessie,8748ec61-d8a6-43dd-886c-e45839df54fb,Member,Maintainer,Maintenance Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
jillmoses__ADe@airaviavista.onmicrosoft.com,Jill Moses (Administrative Department),Moses,Jill,74dabf25-2650-46fe-a846-42ccaf6ab8fd,Member,Human Resources,Administrative Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
johannaharvey__MDe@airaviavista.onmicrosoft.com,Johanna Harvey (Maintenance Department),Harvey,Johanna,fa24f227-6148-4aeb-ae9f-8765454cd8ed,Member,Inspector,Maintenance Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
johnbarry__SSDe@airaviavista.onmicrosoft.com,John Barry (Scheduling and Safety Department),Barry,John,ab5d91ff-a622-408f-88c8-2739f3746b61,Member,Payload Manager,Scheduling and Safety Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
johnhollingshead__CSD@airaviavista.onmicrosoft.com,John Hollingshead (Customer Services Department),Hollingshead,John,af0b12af-76a2-4afc-82e9-685197a5f347,Member,Customer Service,Customer Services Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
johnielittlefield__ADe@airaviavista.onmicrosoft.com,Johnie Littlefield (Administrative Department),Littlefield,Johnie,c31727cf-122f-4315-8ed4-483d719ea6c9,Member,Human Resources,Administrative Department,FALSE,US,United States,Miami,airaviavista.onmicrosoft.com,3/14/2024 1:22
jorgedroessler__SSDe@airaviavista.onmicrosoft.com,Jorge Droessler (Scheduling and Safety Department),Droessler,Jorge,40b6436f-e721-48c5-97fa-4f7d388451b6,Member,Payload Manager,Scheduling and Safety Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
joseschieber__IFD@airaviavista.onmicrosoft.com,Jose Schieber (In-Flight Department),Schieber,Jose,52875272-72d3-4947-b74b-8399e8ffccaf,Member,First Officer,In-Flight Department,FALSE,US,United States,Broward County,airaviavista.onmicrosoft.com,3/14/2024 1:22
josephcowell__IFD@airaviavista.onmicrosoft.com,Joseph Cowell (In-Flight Department),Cowell,Joseph,262add83-edbf-4523-859c-4ae9e865284f,Member,First Officer,In-Flight Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
josephrosenberg__CSD@airaviavista.onmicrosoft.com,Joseph Rosenberg (Customer Services Department),Rosenberg,Joseph,c225f69b-2adb-4859-9827-04024fe36457,Member,Check-in Personnel,Customer Services Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
joshuafinley__MDe@airaviavista.onmicrosoft.com,Joshua Finley (Maintenance Department),Finley,Joshua,67d26afa-37be-444b-8f33-54b73042ebec,Member,Maintainer,Maintenance Department,FALSE,US,United States,Broward County,airaviavista.onmicrosoft.com,3/14/2024 1:22
joycesimpkins__MDe@airaviavista.onmicrosoft.com,Joyce Simpkins (Maintenance Department),Simpkins,Joyce,58c322fb-e53c-417c-9d58-2280b4262730,Member,Inspector,Maintenance Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
kathleengibbs__CSD@airaviavista.onmicrosoft.com,Kathleen Gibbs (Customer Services Department),Gibbs,Kathleen,0df861fa-a6fa-4f22-9abc-24881223103b,Member,Check-in Personnel,Customer Services Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
kathleenmanning__MDe@airaviavista.onmicrosoft.com,Kathleen Manning (Maintenance Department),Manning,Kathleen,6eea622e-e6d8-4f35-8ba9-ba5569514e8b,Member,Maintainer,Maintenance Department,FALSE,US,United States,Boston,airaviavista.onmicrosoft.com,3/14/2024 1:22
katierobbins__ADe@airaviavista.onmicrosoft.com,Katie Robbins (Administrative Department),Robbins,Katie,1a406b45-fdf2-407d-b36d-4c6bad4caea5,Member,Finance Operator,Administrative Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
kennethadams__IFD@airaviavista.onmicrosoft.com,Kenneth Adams (In-Flight Department),Adams,Kenneth,8de53a76-23c7-4d92-a70e-07b5282d7a04,Member,Second Officer,In-Flight Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
kimberlylawrence__MDe@airaviavista.onmicrosoft.com,Kimberly Lawrence (Maintenance Department),Lawrence,Kimberly,4c704512-c457-4129-9639-8a552437edf6,Member,Inspector,Maintenance Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
lauraguzowski__CSD@airaviavista.onmicrosoft.com,Laura Guzowski (Customer Services Department),Guzowski,Laura,5a0852d9-df2a-430d-98a0-39fae3d118b4,Member,Check-in Personnel,Customer Services Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
leongonzales__ADe@airaviavista.onmicrosoft.com,Leon Gonzales (Administrative Department),Gonzales,Leon,56304693-314c-46b5-b603-4b2fa7b1351e,Member,Finance Operator,Administrative Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
lianadonaldson__ADe@airaviavista.onmicrosoft.com,Liana Donaldson (Administrative Department),Donaldson,Liana,9197dc19-228d-4e83-834c-9d649f98e726,Member,Finance Operator,Administrative Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
lillianpost__MDe@airaviavista.onmicrosoft.com,Lillian Post (Maintenance Department),Post,Lillian,403a0ba8-e0ae-4ccb-a6d1-0c4d9b5c3a57,Member,Inspector,Maintenance Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
lisagullion__ADe@airaviavista.onmicrosoft.com,Lisa Gullion (Administrative Department),Gullion,Lisa,c7678a35-c637-4141-a5b3-88a10151e43a,Member,Advertisement Manager,Administrative Department,FALSE,US,United States,Boston,airaviavista.onmicrosoft.com,3/14/2024 1:22
lisasmalley__MDe@airaviavista.onmicrosoft.com,Lisa Smalley (Maintenance Department),Smalley,Lisa,381cf3f0-43d1-490e-9231-946fed6bea8d,Member,Maintainer,Maintenance Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
lisasnell__IFD@airaviavista.onmicrosoft.com,Lisa Snell (In-Flight Department),Snell,Lisa,e5064893-cd51-4b2f-b528-73cdb956a80b,Member,Captain,In-Flight Department,FALSE,US,United States,San Francisco,airaviavista.onmicrosoft.com,3/14/2024 1:22
lorrainegambrel__SSDe@airaviavista.onmicrosoft.com,Lorraine Gambrel (Scheduling and Safety Department),Gambrel,Lorraine,1f1abddb-b408-4cbf-b5e8-dcb68063a28b,Member,Payload Manager,Scheduling and Safety Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
louishughes__SSDe@airaviavista.onmicrosoft.com,Louis Hughes (Scheduling and Safety Department),Hughes,Louis,9669e9a8-7fb8-433e-9dcb-9f66f4be0443,Member,Payload Manager,Scheduling and Safety Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
lucretiablackford__ADe@airaviavista.onmicrosoft.com,Lucretia Blackford (Administrative Department),Blackford,Lucretia,c8c6b773-3c24-425c-9f2d-ab4901e0fab1,Member,Human Resources,Administrative Department,FALSE,US,United States,Miami,airaviavista.onmicrosoft.com,3/14/2024 1:22
lynnebey__SSDe@airaviavista.onmicrosoft.com,Lynne Bey (Scheduling and Safety Department),Bey,Lynne,93f85186-32a0-4dd5-ba28-a766baf866b3,Member,Flight Scheduling Manager,Scheduling and Safety Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
malcolmmartin__IFD@airaviavista.onmicrosoft.com,Malcolm Martin (In-Flight Department),Martin,Malcolm,d302e58c-a8b4-4c6d-abd2-da671af66795,Member,Captain,In-Flight Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
mariodavis__CSD@airaviavista.onmicrosoft.com,Mario Davis (Customer Services Department),Davis,Mario,b35a9b4b-581f-4e65-afd6-2aa31fbca2f6,Member,Check-in Personnel,Customer Services Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
markgravitt__MDe@airaviavista.onmicrosoft.com,Mark Gravitt (Maintenance Department),Gravitt,Mark,786e9435-3c66-4c77-b159-56f35ec70bc7,Member,Inspector,Maintenance Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
markmikeska__SSDe@airaviavista.onmicrosoft.com,Mark Mikeska (Scheduling and Safety Department),Mikeska,Mark,4c872a97-a631-4a0f-8ecc-19a4ce2669c9,Member,Flight Scheduling Manager,Scheduling and Safety Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
martafinnie__MDe@airaviavista.onmicrosoft.com,Marta Finnie (Maintenance Department),Finnie,Marta,a3a0d364-805e-4c06-a46e-2ab700573428,Member,Maintainer,Maintenance Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
marthagriffin__ADe@airaviavista.onmicrosoft.com,Martha Griffin (Administrative Department),Griffin,Martha,b143eef2-b568-4008-b08d-d9c2d353f9ff,Member,Advertisement Manager,Administrative Department,FALSE,US,United States,Miami,airaviavista.onmicrosoft.com,3/14/2024 1:22
marvinpatterson__SSDe@airaviavista.onmicrosoft.com,Marvin Patterson (Scheduling and Safety Department),Patterson,Marvin,5e84386d-19b4-4840-9fe0-4e2d2d189ff1,Member,Payload Manager,Scheduling and Safety Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
marywood__MDe@airaviavista.onmicrosoft.com,Mary Wood (Maintenance Department),Wood,Mary,cc57f31f-02f7-41ac-aaa0-ae16021ca347,Member,Inspector,Maintenance Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
melissajones__MDe@airaviavista.onmicrosoft.com,Melissa Jones (Maintenance Department),Jones,Melissa,5e1e1abd-e001-48af-bf30-bbb118016842,Member,Inspector,Maintenance Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
melvinpope__CSD@airaviavista.onmicrosoft.com,Melvin Pope (Customer Services Department),Pope,Melvin,bd6db1cc-8f35-4123-8463-640087d2e6b4,Member,Customer Service,Customer Services Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
merrillstubblefield__CSD@airaviavista.onmicrosoft.com,Merrill Stubblefield (Customer Services Department),Stubblefield,Merrill,69ca2cda-77c8-47c7-ae0e-f1fe9047cdd6,Member,Check-in Personnel,Customer Services Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
michaeldriever__CSD@airaviavista.onmicrosoft.com,Michael Driever (Customer Services Department),Driever,Michael,e4b84fae-056f-48d6-ba01-ec32da7739bd,Member,Check-in Personnel,Customer Services Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
michaelmarquez__CSD@airaviavista.onmicrosoft.com,Michael Marquez (Customer Services Department),Marquez,Michael,d1eb749d-53a0-4a93-80bf-ddb87dd1c68e,Member,Customer Service,Customer Services Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
michealtammaro__SSDe@airaviavista.onmicrosoft.com,Micheal Tammaro (Scheduling and Safety Department),Tammaro,Micheal,16e65711-2b5a-4c12-82b0-289ee784efea,Member,Flight Scheduling Manager,Scheduling and Safety Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
michellefisher__ADe@airaviavista.onmicrosoft.com,Michelle Fisher (Administrative Department),Fisher,Michelle,09b6f432-d7a9-403e-989b-97354f27b07b,Member,Finance Operator,Administrative Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
michelleramos__CSD@airaviavista.onmicrosoft.com,Michelle Ramos (Customer Services Department),Ramos,Michelle,166473bc-2f5d-448d-9929-c8e72e07725c,Member,Check-in Personnel,Customer Services Department,FALSE,US,United States,Boston,airaviavista.onmicrosoft.com,3/14/2024 1:22
mikecaldwell__IFD@airaviavista.onmicrosoft.com,Mike Caldwell (In-Flight Department),Caldwell,Mike,f4d92b02-0d24-4d3f-86b7-76478ea4e682,Member,First Officer,In-Flight Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
mikehunt__MDe@airaviavista.onmicrosoft.com,Mike Hunt (Maintenance Department),Hunt,Mike,cf969161-2007-403f-a3c8-3d852136dc15,Member,Maintainer,Maintenance Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
mildredhall__CSD@airaviavista.onmicrosoft.com,Mildred Hall (Customer Services Department),Hall,Mildred,8b3d2e81-161e-40d5-9c25-85e8f2106c91,Member,Check-in Personnel,Customer Services Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
oscarpeter__SSDe@airaviavista.onmicrosoft.com,Oscar Peter (Scheduling and Safety Department),Peter,Oscar,928574ba-602c-4315-abdd-90042dc81f05,Member,Flight Scheduling Manager,Scheduling and Safety Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
patrickchapman__CSD@airaviavista.onmicrosoft.com,Patrick Chapman (Customer Services Department),Chapman,Patrick,6b75e242-2537-422a-8a0e-a4f8e45ca573,Member,Customer Service,Customer Services Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
peterhathaway__ADe@airaviavista.onmicrosoft.com,Peter Hathaway (Administrative Department),Hathaway,Peter,65df9dab-7952-42a2-a58b-244231a02def,Member,Advertisement Manager,Administrative Department,FALSE,GB,United Kingdom,London,airaviavista.onmicrosoft.com,3/14/2024 1:22
randolphrow__ADe@airaviavista.onmicrosoft.com,Randolph Row (Administrative Department),Row,Randolph,277ea9ff-dae8-4eb3-bc43-dd41fdf1cf29,Member,Advertisement Manager,Administrative Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
randolphrowe__MDe@airaviavista.onmicrosoft.com,Randolph Rowe (Maintenance Department),Rowe,Randolph,67354930-4583-4b5d-9238-a8b754a227e1,Member,Inspector,Maintenance Department,FALSE,FR,France,Paris,airaviavista.onmicrosoft.com,3/14/2024 1:22
